iter	MultiClass
172	0.3990878972
173	0.399036172
174	0.3989624085
175	0.3988351476
176	0.3988297645
177	0.3987750592
178	0.3987447087
179	0.3985762605
180	0.3985577341
181	0.3985450382
182	0.3984489926
183	0.3983999006
184	0.3983110027
185	0.3982933214
186	0.3982503694
187	0.3981120694
188	0.3981039625
189	0.3979951454
190	0.3979698905
191	0.3978987069
192	0.3978868811
193	0.397857161
194	0.3978134409
195	0.3977968756
196	0.3977467129
197	0.3976537434
198	0.3976401523
199	0.397620821
200	0.3975844212
201	0.3975563508
202	0.3975348224
203	0.3974473798
204	0.3973934156
205	0.3972934019
206	0.3972403556
207	0.3971576491
208	0.3971096156
209	0.3970265037
210	0.3969738913
211	0.3969563413
212	0.3969521644
213	0.3969295133
214	0.3969021711
215	0.3968460537
216	0.3967736358
217	0.3967487973
218	0.3966800362
219	0.3966681939
220	0.3966351969
221	0.3965510365
222	0.3965212837
223	0.3964016257
224	0.396335322
225	0.3962986185
226	0.3962469337
227	0.3962272496
228	0.396169109
229	0.3961607734
230	0.3961312545
231	0.3960974597
232	0.3960522526
233	0.3959520043
234	0.395947541
235	0.3959258699
236	0.39589369
237	0.395875397
238	0.3958541109
239	0.3958381398
240	0.3957986741
241	0.3957140674
242	0.3956435409
243	0.3956056227
244	0.3955919555
245	0.3955621026
246	0.395542606
247	0.3955288022
248	0.3955209527
249	0.3954732419
250	0.3954220933
251	0.3953820368
252	0.3953308537
253	0.3952745993
254	0.3952520802
255	0.3952379904
256	0.3951698079
257	0.3951253779
258	0.3950835173
259	0.3950712513
260	0.3950559159
261	0.3949867511
262	0.3948852203
263	0.3948446198
264	0.3948055349
265	0.3947541976
266	0.3947111249
267	0.3946963406
268	0.3946778678
269	0.3946663168
270	0.3946545181
271	0.394629668
272	0.3945632811
273	0.3945113463
274	0.3945067744
275	0.3944693299
276	0.3944454759
277	0.3944001845
278	0.3943936272
279	0.394374799
280	0.3943382031
281	0.3943298681
282	0.3943104045
283	0.3943057887
284	0.3942863776
285	0.3942820408
286	0.394234117
287	0.3941905427
288	0.3941621621
289	0.3941504293
290	0.3941037586
291	0.3940763286
292	0.3940574714
293	0.3939995066
294	0.3939790605
295	0.3939476718
296	0.3939261053
297	0.3938738819
298	0.3938613282
299	0.3938601565
300	0.3938468399
301	0.3938162411
302	0.3937653628
303	0.3937221612
304	0.3936372388
305	0.3936168256
306	0.3936156985
307	0.3935975288
308	0.3935511441
309	0.3935161454
310	0.3934588392
311	0.3934301712
312	0.3934134202
313	0.3933701744
314	0.3933592466
315	0.3933306208
316	0.3933226069
317	0.3932983122
318	0.3932690875
319	0.3932593177
320	0.3932451466
321	0.3931790674
322	0.393157605
323	0.3931352935
324	0.3931040828
325	0.3930287382
326	0.3929702825
327	0.3929572599
328	0.3929437351
329	0.3929014694
330	0.392847325
331	0.3928403006
332	0.3927880921
333	0.3927669856
334	0.3927351242
335	0.3927066967
336	0.3926706333
337	0.3926612697
338	0.3926530289
339	0.3926194749
340	0.3925874732
341	0.392498694
342	0.3924640457
343	0.3924553076
344	0.3924429096
345	0.3924050356
346	0.3923896693
347	0.3923713093
348	0.3923371444
349	0.3923082101
350	0.3922772089
351	0.3922752972
352	0.3922185317
353	0.3922149155
354	0.3921548035
355	0.3921498022
356	0.3921478035
357	0.3920773588
358	0.3920634441
359	0.3920576412
360	0.3920518306
361	0.3920285525
362	0.3919613064
363	0.3919476798
364	0.3919417587
365	0.3919126422
366	0.3918875907
367	0.3918593491
368	0.3918360123
369	0.3917940887
370	0.391774869
371	0.3917441765
372	0.3917171467
373	0.3916971868
374	0.3916886476
375	0.3916674679
376	0.3916173936
377	0.3915875841
378	0.3915720272
379	0.3915576051
380	0.3915195481
381	0.3914911737
382	0.3914339058
383	0.3913948824
384	0.391366491
385	0.3913495406
386	0.3912231373
387	0.3910830856
388	0.3910783422
389	0.3910463718
390	0.3910428542
391	0.3910159775
392	0.3910086363
393	0.3909990662
394	0.3909788583
395	0.3909699983
396	0.3909646181
397	0.3909592308
398	0.3909435919
399	0.3909186176
400	0.3908960501
401	0.390884631
402	0.3908723305
403	0.3908464434
404	0.3908420152
405	0.3907594452
406	0.3907526299
407	0.390713593
408	0.3907074562
409	0.3907063809
410	0.3907041502
411	0.3907025395
412	0.3905885782
413	0.3905742371
414	0.390541905
415	0.3905029655
416	0.3904845674
417	0.3904514654
418	0.3904295505
419	0.3903344756
420	0.3903296755
421	0.3903184363
422	0.3902755474
423	0.3902615152
424	0.3902434548
425	0.3902281336
426	0.3902043659
427	0.3901963251
428	0.3901215284
429	0.3900815528
430	0.3900126349
431	0.3900014148
432	0.3899859618
433	0.3899729936
434	0.3899278755
435	0.3898898365
436	0.3898612061
437	0.3898371791
438	0.3897953468
439	0.3897906333
440	0.3897890701
441	0.3897711699
442	0.3897582756
443	0.3897528256
444	0.3897494903
445	0.389737883
446	0.3897081251
447	0.3896944405
448	0.389653491
449	0.389623328
450	0.3896143118
451	0.3895980091
452	0.3895510123
453	0.3895462612
454	0.3895416914
455	0.3895357023
456	0.3895330691
457	0.3895145554
458	0.3895054751
459	0.389491104
460	0.389426833
461	0.3893228807
462	0.3893083179
463	0.3892774098
464	0.3892543877
465	0.3892427936
466	0.3892159473
467	0.3891249224
468	0.3890744658
469	0.3890246756
470	0.3890005339
471	0.3889749061
472	0.3889499572
473	0.3888976166
474	0.3888378378
475	0.3888124938
476	0.3888098259
477	0.3888019981
478	0.3887916607
479	0.3887467709
480	0.3887222862
481	0.3887152525
482	0.3887032682
483	0.3886998752
484	0.3886603698
485	0.388655189
486	0.3886380479
487	0.3886332688
488	0.3886058038
489	0.3885814624
490	0.3885434697
491	0.388522191
492	0.3885189061
493	0.3884858466
494	0.3884521941
495	0.3884411205
496	0.388423381
497	0.3884168926
498	0.3884158397
499	0.3884124385
500	0.3884117947
501	0.3883417207
502	0.3883072081
503	0.3882985576
504	0.3882866434
505	0.3882615742
506	0.3882324281
507	0.3882173903
508	0.3882074813
509	0.3881422785
510	0.3880914424
511	0.3880611405
512	0.388047242
513	0.3880324901
514	0.3880144469
515	0.3879741035
516	0.3879673832
517	0.3879148184
518	0.3878922966
519	0.3878739713
520	0.3878637337
521	0.3878281252
522	0.3878255586
523	0.3878213875
524	0.3878139149
525	0.3878097363
526	0.3877995035
527	0.3877921197
528	0.3877782576
529	0.3877607943
530	0.3877362998
531	0.3877007133
532	0.3876553271
533	0.3876402509
534	0.3876227956
535	0.3875162979
536	0.387504685
537	0.3874640312
538	0.3874525057
539	0.3874298625
540	0.3874228448
541	0.3874090612
542	0.3873625497
543	0.3873170843
544	0.3873019036
545	0.3872772029
546	0.3872303726
547	0.3871964098
548	0.3871883924
549	0.3871615495
550	0.387145244
551	0.3871406643
552	0.3871313282
553	0.3871180973
554	0.3871165707
555	0.3871027138
556	0.3870552433
557	0.3870338395
558	0.3869985517
559	0.3869908256
560	0.3869528508
561	0.3869488142
562	0.386936288
563	0.3868830122
564	0.3868703262
565	0.3868446935
566	0.3867899415
567	0.3867518796
568	0.3867304322
569	0.3867110496
570	0.3867027363
571	0.386677301
572	0.3866715192
573	0.3866430236
574	0.3866370998
575	0.3866098809
576	0.3866056745
577	0.3865861051
578	0.386554642
579	0.3865377025
580	0.3865048052
581	0.3864781026
582	0.3864780142
583	0.3864567729
584	0.3864427616
585	0.386438507
586	0.3864357689
587	0.3864093021
588	0.3863995077
589	0.3863716992
590	0.3863386957
591	0.3863180042
592	0.3863066451
593	0.386276715
594	0.3862723163
595	0.3862602989
596	0.3862587742
597	0.3862560009
598	0.386232701
599	0.3862091678
600	0.38618689
601	0.3861294218
602	0.3861150495
603	0.3861045798
604	0.3860826167
605	0.3860686104
606	0.3860592275
607	0.3860087582
608	0.3860049933
609	0.3859858317
610	0.3859551307
611	0.3859399566
612	0.3859310291
613	0.3859127861
614	0.3858863216
615	0.3858843134
616	0.3858567341
617	0.3858392262
618	0.3858141404
619	0.3858086444
620	0.3858014504
621	0.3857805953
622	0.3857441289
623	0.3857414341
624	0.385685959
625	0.385668625
626	0.3856652471
627	0.3856404871
628	0.3856170505
629	0.3856118239
630	0.3856017524
631	0.3855803579
632	0.3855719743
633	0.3855456484
634	0.3855432201
635	0.3855399408
636	0.3855278541
637	0.3854993063
638	0.3854946708
639	0.3854818391
640	0.3854437239
641	0.3854330403
642	0.3854142265
643	0.3853991067
644	0.3853340863
645	0.3853159272
646	0.3852711854
647	0.3852426795
648	0.3852425765
649	0.3852350624
650	0.3852326281
651	0.3852307904
652	0.3852244414
653	0.3852138465
654	0.3852024648
655	0.3851967916
656	0.3851508202
657	0.3851375278
658	0.3850831074
659	0.3850773995
660	0.3850755903
661	0.3850741112
662	0.3850357022
663	0.3850251154
664	0.3850028402
665	0.3849807636
666	0.38496948
667	0.3849679408
668	0.3849506432
669	0.3849472385
670	0.3848717564
671	0.3848657344
672	0.3848536354
673	0.3848523546
674	0.3848097078
675	0.3847819129
676	0.3847806997
677	0.3847416561
678	0.3847191193
679	0.3846925738
680	0.3846692845
681	0.3846409198
682	0.3846392009
683	0.3846171763
684	0.3845950315
685	0.3845856478
686	0.3845770816
687	0.3845557909
688	0.384543216
689	0.3845352792
690	0.3845153646
691	0.3845039521
692	0.3844883217
693	0.3844826869
694	0.3844791365
695	0.3844677616
696	0.3844562201
697	0.3844477773
698	0.3844143484
699	0.3844089045
700	0.384383966
701	0.3843804561
702	0.3843427375
703	0.3843009908
704	0.384290766
705	0.3842714501
706	0.3842640368
707	0.3842448272
708	0.3842400252
709	0.3842064678
710	0.3841941883
711	0.3841834871
712	0.3841794521
713	0.3841629648
714	0.3841258406
715	0.3841176765
716	0.3841151549
717	0.3840968252
718	0.3840419161
719	0.38403527
720	0.3840217535
721	0.3839996172
722	0.3839881222
723	0.3839723092
724	0.3839544094
725	0.3839272284
726	0.3839229902
727	0.3839197954
728	0.3839129316
729	0.3839071827
730	0.3839013621
731	0.3838696336
732	0.383850806
733	0.3838496069
734	0.3838432398
735	0.3838392251
736	0.3838258367
737	0.3838152382
738	0.38380155
739	0.3837845196
740	0.3837828582
741	0.3837812606
742	0.3837731098
743	0.383765712
744	0.3837645164
745	0.3837613685
746	0.3837414331
747	0.3837279333
748	0.3837077889
749	0.3836864494
750	0.3836764203
751	0.383668276
752	0.3836598041
753	0.3836418046
754	0.383632155
755	0.3836294111
756	0.3836211627
757	0.383617131
758	0.3836021031
759	0.3835928536
760	0.383569981
761	0.38355586
762	0.3835473676
763	0.3835440116
764	0.3835126207
765	0.3835008363
766	0.3834966411
767	0.3834903852
768	0.3834721785
769	0.383456155
770	0.3834503837
771	0.3834168771
772	0.3833725229
773	0.3833589787
774	0.3833438834
775	0.3833308716
776	0.3832968803
777	0.3832895762
778	0.3832834933
779	0.3832750571
780	0.3832565326
781	0.3832496479
782	0.3832287383
783	0.3832137724
784	0.3832026631
785	0.3831943764
786	0.3831709221
787	0.3831493355
788	0.3830915523
789	0.3830891295
790	0.3830587896
791	0.3830460551
792	0.3830194666
793	0.3829977116
794	0.3829785663
795	0.3829706931
796	0.382956157
797	0.3829474771
798	0.3829467506
799	0.3829296599
800	0.3829080088
801	0.3828978108
802	0.3828586894
803	0.3828472682
804	0.382827651
805	0.3828227996
806	0.3828176826
807	0.3828036882
808	0.3827789311
809	0.3827723895
810	0.382767235
811	0.3827637088
812	0.3827102282
813	0.3827006135
814	0.3826811147
815	0.3826764172
816	0.382647395
817	0.3826305784
818	0.3826280941
819	0.3826271117
820	0.3826241985
821	0.3825682448
822	0.3825655829
823	0.3825416214
824	0.3825284451
825	0.3825270644
826	0.3825178318
827	0.3825076744
828	0.382498157
829	0.3824702312
830	0.382414961
831	0.3823547507
832	0.3823382148
833	0.3823204083
834	0.382293187
835	0.3822890154
836	0.3822840136
837	0.3822749123
838	0.3822729833
839	0.3822492215
840	0.3822149288
841	0.382192133
842	0.3821695212
843	0.3821264133
844	0.3821055826
845	0.3820723016
846	0.3820509932
847	0.3820406475
848	0.3820377461
849	0.3820087702
850	0.3819755764
851	0.3819618275
852	0.3819448429
853	0.3819331151
854	0.3818859383
855	0.3818713943
856	0.3818422457
857	0.3818150129
858	0.3817875475
859	0.3817602806
860	0.3817320385
861	0.3817127356
862	0.3817096752
863	0.3816973791
864	0.381688211
865	0.3816876257
866	0.381677297
867	0.3816711285
868	0.3816543459
869	0.3816486797
870	0.3816296107
871	0.3816230152
872	0.3816160363
873	0.3815913226
874	0.381569899
875	0.3815628909
876	0.3815400359
877	0.381523946
878	0.3815186072
879	0.3815012828
880	0.3814962377
881	0.3814818971
882	0.3814801588
883	0.3814670474
884	0.3814659986
885	0.3814515768
886	0.3814161199
887	0.3813922445
888	0.3813789778
889	0.3813639472
890	0.3813532099
891	0.3813438039
892	0.3813149307
893	0.3813122612
894	0.3812988358
895	0.3812836032
896	0.381278059
897	0.3812761748
898	0.3812692313
899	0.3812665062
900	0.3812618295
901	0.3812475832
902	0.3812475405
903	0.3812382892
904	0.381223725
905	0.3812083064
906	0.3811808408
907	0.3811752877
908	0.381154261
909	0.381140215
910	0.3811054075
911	0.3810980533
912	0.3810917074
913	0.3810604941
914	0.3810363237
915	0.3810171721
916	0.3809513083
917	0.3809393777
918	0.3809276583
919	0.3809120208
920	0.3808656732
921	0.3808534796
922	0.3808466302
923	0.3808237627
924	0.38081923
925	0.3807695182
926	0.380757102
927	0.3807516321
928	0.3807426109
929	0.380736502
930	0.3807184592
931	0.3807074682
932	0.3807035769
933	0.3806797018
934	0.3806718021
935	0.3806437018
936	0.3806405193
937	0.3806403394
938	0.3806202536
939	0.3806148839
940	0.3805933602
941	0.3805709154
942	0.3805643424
943	0.3805615505
944	0.380559295
945	0.3805542145
946	0.3805501967
947	0.3805488879
948	0.3805177416
949	0.380502549
950	0.3804693012
951	0.3804176447
952	0.3804085789
953	0.3804044371
954	0.3804014797
955	0.3803761132
956	0.380371837
957	0.3803685495
958	0.3803631296
959	0.3803213288
960	0.3803108729
961	0.3802936005
962	0.3802576944
963	0.3802466188
964	0.38022655
965	0.380207903
966	0.3802038922
967	0.380162749
968	0.3801606095
969	0.3801573383
970	0.3801336117
971	0.3801244995
972	0.3801161828
973	0.3800977479
974	0.3800768731
975	0.3800646339
976	0.380061994
977	0.3800607144
978	0.3800565167
979	0.3800304883
980	0.3800299943
981	0.3800205554
982	0.3800076036
983	0.380003912
984	0.3800024861
985	0.3799999712
986	0.3799916533
987	0.3799901181
988	0.3799873648
989	0.3799697098
990	0.3799578831
991	0.3799249689
992	0.379899913
993	0.3798745318
994	0.3798634609
995	0.3798528432
996	0.3798450147
997	0.3798374152
998	0.3798102425
999	0.3798005639
